uri,code,result
/repositories/11/archival_objects/2399163,200,"{'status': 'Updated', 'id': 2399163, 'lock_version': 7, 'stale': True, 'uri': '/repositories/11/archival_objects/2399163', 'warnings': []}"
/repositories/11/top_containers,200,"{'status': 'Created', 'id': 412857, 'lock_version': 0, 'stale': None, 'uri': '/repositories/11/top_containers/412857', 'warnings': []}"
/repositories/11/archival_objects/2399164,200,"{'status': 'Updated', 'id': 2399164, 'lock_version': 12, 'stale': True, 'uri': '/repositories/11/archival_objects/2399164', 'warnings': []}"
/repositories/11/top_containers,200,"{'status': 'Created', 'id': 412858, 'lock_version': 0, 'stale': None, 'uri': '/repositories/11/top_containers/412858', 'warnings': []}"
/repositories/11/archival_objects/2399165,200,"{'status': 'Updated', 'id': 2399165, 'lock_version': 11, 'stale': True, 'uri': '/repositories/11/archival_objects/2399165', 'warnings': []}"
/repositories/11/top_containers,200,"{'status': 'Created', 'id': 412859, 'lock_version': 0, 'stale': None, 'uri': '/repositories/11/top_containers/412859', 'warnings': []}"
/repositories/11/archival_objects/2399166,200,"{'status': 'Updated', 'id': 2399166, 'lock_version': 11, 'stale': True, 'uri': '/repositories/11/archival_objects/2399166', 'warnings': []}"
/repositories/11/top_containers,200,"{'status': 'Created', 'id': 412860, 'lock_version': 0, 'stale': None, 'uri': '/repositories/11/top_containers/412860', 'warnings': []}"
/repositories/11/archival_objects/2399167,200,"{'status': 'Updated', 'id': 2399167, 'lock_version': 11, 'stale': True, 'uri': '/repositories/11/archival_objects/2399167', 'warnings': []}"
/repositories/11/top_containers,200,"{'status': 'Created', 'id': 412861, 'lock_version': 0, 'stale': None, 'uri': '/repositories/11/top_containers/412861', 'warnings': []}"
/repositories/11/archival_objects/2399168,200,"{'status': 'Updated', 'id': 2399168, 'lock_version': 9, 'stale': True, 'uri': '/repositories/11/archival_objects/2399168', 'warnings': []}"
/repositories/11/top_containers,200,"{'status': 'Created', 'id': 412862, 'lock_version': 0, 'stale': None, 'uri': '/repositories/11/top_containers/412862', 'warnings': []}"
/repositories/11/archival_objects/2399169,200,"{'status': 'Updated', 'id': 2399169, 'lock_version': 12, 'stale': True, 'uri': '/repositories/11/archival_objects/2399169', 'warnings': []}"
/repositories/11/top_containers,200,"{'status': 'Created', 'id': 412863, 'lock_version': 0, 'stale': None, 'uri': '/repositories/11/top_containers/412863', 'warnings': []}"
/repositories/11/archival_objects/2399170,200,"{'status': 'Updated', 'id': 2399170, 'lock_version': 12, 'stale': True, 'uri': '/repositories/11/archival_objects/2399170', 'warnings': []}"
/repositories/11/top_containers,200,"{'status': 'Created', 'id': 412864, 'lock_version': 0, 'stale': None, 'uri': '/repositories/11/top_containers/412864', 'warnings': []}"
/repositories/11/archival_objects/2399171,200,"{'status': 'Updated', 'id': 2399171, 'lock_version': 12, 'stale': True, 'uri': '/repositories/11/archival_objects/2399171', 'warnings': []}"
/repositories/11/top_containers,200,"{'status': 'Created', 'id': 412865, 'lock_version': 0, 'stale': None, 'uri': '/repositories/11/top_containers/412865', 'warnings': []}"
/repositories/11/archival_objects/2399172,200,"{'status': 'Updated', 'id': 2399172, 'lock_version': 12, 'stale': True, 'uri': '/repositories/11/archival_objects/2399172', 'warnings': []}"
/repositories/11/archival_objects/2399173,200,"{'status': 'Updated', 'id': 2399173, 'lock_version': 12, 'stale': True, 'uri': '/repositories/11/archival_objects/2399173', 'warnings': []}"
/repositories/11/top_containers,200,"{'status': 'Created', 'id': 412866, 'lock_version': 0, 'stale': None, 'uri': '/repositories/11/top_containers/412866', 'warnings': []}"
/repositories/11/archival_objects/2399174,200,"{'status': 'Updated', 'id': 2399174, 'lock_version': 11, 'stale': True, 'uri': '/repositories/11/archival_objects/2399174', 'warnings': []}"
/repositories/11/archival_objects/2399175,200,"{'status': 'Updated', 'id': 2399175, 'lock_version': 11, 'stale': True, 'uri': '/repositories/11/archival_objects/2399175', 'warnings': []}"
/repositories/11/top_containers,200,"{'status': 'Created', 'id': 412867, 'lock_version': 0, 'stale': None, 'uri': '/repositories/11/top_containers/412867', 'warnings': []}"
/repositories/11/archival_objects/2399176,200,"{'status': 'Updated', 'id': 2399176, 'lock_version': 11, 'stale': True, 'uri': '/repositories/11/archival_objects/2399176', 'warnings': []}"
/repositories/11/top_containers,200,"{'status': 'Created', 'id': 412868, 'lock_version': 0, 'stale': None, 'uri': '/repositories/11/top_containers/412868', 'warnings': []}"
/repositories/11/archival_objects/2399177,200,"{'status': 'Updated', 'id': 2399177, 'lock_version': 11, 'stale': True, 'uri': '/repositories/11/archival_objects/2399177', 'warnings': []}"
/repositories/11/top_containers,200,"{'status': 'Created', 'id': 412869, 'lock_version': 0, 'stale': None, 'uri': '/repositories/11/top_containers/412869', 'warnings': []}"
/repositories/11/archival_objects/2399178,200,"{'status': 'Updated', 'id': 2399178, 'lock_version': 11, 'stale': True, 'uri': '/repositories/11/archival_objects/2399178', 'warnings': []}"
/repositories/11/top_containers,200,"{'status': 'Created', 'id': 412870, 'lock_version': 0, 'stale': None, 'uri': '/repositories/11/top_containers/412870', 'warnings': []}"
/repositories/11/archival_objects/2399179,200,"{'status': 'Updated', 'id': 2399179, 'lock_version': 7, 'stale': True, 'uri': '/repositories/11/archival_objects/2399179', 'warnings': []}"
/repositories/11/top_containers,200,"{'status': 'Created', 'id': 412871, 'lock_version': 0, 'stale': None, 'uri': '/repositories/11/top_containers/412871', 'warnings': []}"
/repositories/11/archival_objects/2399180,200,"{'status': 'Updated', 'id': 2399180, 'lock_version': 7, 'stale': True, 'uri': '/repositories/11/archival_objects/2399180', 'warnings': []}"
/repositories/11/top_containers,200,"{'status': 'Created', 'id': 412872, 'lock_version': 0, 'stale': None, 'uri': '/repositories/11/top_containers/412872', 'warnings': []}"
/repositories/11/archival_objects/2399181,200,"{'status': 'Updated', 'id': 2399181, 'lock_version': 7, 'stale': True, 'uri': '/repositories/11/archival_objects/2399181', 'warnings': []}"
/repositories/11/top_containers,200,"{'status': 'Created', 'id': 412873, 'lock_version': 0, 'stale': None, 'uri': '/repositories/11/top_containers/412873', 'warnings': []}"
/repositories/11/archival_objects/2399182,200,"{'status': 'Updated', 'id': 2399182, 'lock_version': 11, 'stale': True, 'uri': '/repositories/11/archival_objects/2399182', 'warnings': []}"
/repositories/11/top_containers,200,"{'status': 'Created', 'id': 412874, 'lock_version': 0, 'stale': None, 'uri': '/repositories/11/top_containers/412874', 'warnings': []}"
/repositories/11/archival_objects/2399183,200,"{'status': 'Updated', 'id': 2399183, 'lock_version': 11, 'stale': True, 'uri': '/repositories/11/archival_objects/2399183', 'warnings': []}"
